"","id","prov","year","hcr","vars","n","x","pop"
"134","VIGNOLA","MO",2017,0.0571,0.00015071245225,142,-0.3603,90398
"135","FIDENZA","PR",2017,0.083,0.000192127321,112,0.056,103735
"136","PARMA","PR",2017,0.1015,9.1030681e-05,227,0.2372,219947
"137","SUD EST","PR",2017,0.0704,0.000218566656,57,-0.3418,76138
"138","VALLI TARO E CENO","PR",2017,0.115,0.000846519025,10,0.1,45574
"139","CITTA' DI PIACENZA","PC",2017,0.132,0.000322274304,57,0.3883,102269
"140","LEVANTE","PC",2017,0.0936,0.00021594890304,130,0.1098,108512
"141","PONENTE","PC",2017,0.1081,0.00049108776025,10,0.0387,77232
"142","FAENZA","RA",2017,0.1168,0.00035362050304,83,-0.2088,88847
"143","LUGO","RA",2017,0.1208,0.00045717281856,61,0.1098,103003
"144","RAVENNA","RA",2017,0.1028,0.000127870864,108,-0.6637,200147
"145","CASTELNUOVO NE' MONTI","RE",2017,0.1318,0.00071585142916,53,0.7568,33593
"146","CORREGGIO","RE",2017,0.1265,0.00049006890625,53,0.0195,56848
"147","GUASTALLA","RE",2017,0.1198,0.00077248420096,10,-0.3982,72031
"148","MONTECCHIO","RE",2017,0.1085,0.00070662930625,10,0.4735,62643
"149","REGGIO EMILIA","RE",2017,0.1289,0.00019379980944,173,0.3008,226670
"150","SCANDIANO","RE",2017,0.0944,0.000338854464,137,-0.2673,81463
"151","RICCIONE","RN",2017,0.1507,0.00081124141329,10,0.4717,113291
"152","RIMINI","RN",2017,0.1251,0.00021058653456,198,-0.0743,221908
"153","CASALECCHIO DI RENO","BO",2018,0.078,0.000217326564,42,-0.1654,111375
"154","CITTA' DI BOLOGNA","BO",2018,0.112,0.0001132096,285,-0.3532,386663
"155","IMOLA","BO",2018,0.062,0.0001615441,49,-0.3097,133129
"156","PIANURA EST","BO",2018,0.079,0.000199967881,190,-0.1802,158997
"157","PIANURA OVEST","BO",2018,0.073,0.000426794281,10,-0.0283,82554
"158","PORRETTA TERME","BO",2018,0.125,0.00093025,26,0.0814,55914
"159","SAN LAZZARO DI SAVENA","BO",2018,0.068,0.000181279296,126,-0.3702,77199
"160","CENTRO-NORD","FE",2018,0.096,0.0001937664,144,-0.0687,174220
"161","OVEST","FE",2018,0.086,0.000551216484,10,-0.1162,78006
"162","SUD-EST","FE",2018,0.125,0.000708890625,10,-0.005,99210
"163","CESENA - VALLE DEL SAVIO","FC",2018,0.104,0.0003125824,122,-0.4271,116739
"164","FORLI'","FC",2018,0.078,0.000182088036,75,-0.2286,186332
"165","RUBICONE","FC",2018,0.14,0.0009229444,10,0.28,91530
"166","CARPI","MO",2018,0.122,0.000466300836,55,0.3714,105252
"167","CASTELFRANCO EMILIA","MO",2018,0.075,0.00023409,119,0.2144,75506
"168","MIRANDOLA","MO",2018,0.09,0.0003884841,60,-0.3654,85129
"169","MODENA","MO",2018,0.087,0.000131882256,219,0.1012,184973
"170","PAVULLO NEL FRIGNANO","MO",2018,0.104,0.000504631296,65,0.3149,40722
"171","SASSUOLO","MO",2018,0.076,0.0002085136,121,-0.1597,119765
"172","VIGNOLA","MO",2018,0.046,0.000135443044,142,-0.6437,90295
"173","FIDENZA","PR",2018,0.11,0.00034969,112,0.2027,104031
"174","PARMA","PR",2018,0.116,0.000124010496,227,0.4901,222342
"175","SUD EST","PR",2018,0.064,0.000233967616,57,-0.1941,76172
"176","VALLI TARO E CENO","PR",2018,0.128,0.001040449536,10,0.3028,45234
"177","CITTA' DI PIACENZA","PC",2018,0.091,0.000220017889,57,0.3116,102191
"178","LEVANTE","PC",2018,0.122,0.000267257104,130,0.1735,107913
"179","PONENTE","PC",2018,0.109,0.000518973961,10,-0.6141,76893
"180","FAENZA","RA",2018,0.101,0.000312405625,83,0.1438,88559
"181","LUGO","RA",2018,0.11,0.00034969,61,0.2866,102663
"182","RAVENNA","RA",2018,0.099,0.000108056025,108,0.002,200303
"183","CASTELNUOVO NE' MONTI","RE",2018,0.133,0.000560458276,53,0.5891,33401
"184","CORREGGIO","RE",2018,0.134,0.000568917904,53,0.4413,56657
"185","GUASTALLA","RE",2018,0.116,0.000663165504,10,-0.13,72140
"186","MONTECCHIO","RE",2018,0.108,0.000606341376,10,0.2886,62635
"187","REGGIO EMILIA","RE",2018,0.122,0.000142945936,173,0.2211,226461
"188","SCANDIANO","RE",2018,0.123,0.000416894724,137,-0.0778,81578
"189","RICCIONE","RN",2018,0.131,0.000632623104,10,0.17,113377
"190","RIMINI","RN",2018,0.111,0.000165791376,198,-0.1866,222086
